harmonized_disease_term_id	harmonized_disease_term_name	harmonized_disease_term_count_in_last_CDA_release	slim_disease_term_id	slim_disease_term_name	slim_disease_term_count_in_last_CDA_release
900-903	Fibroepithelial neoplasms	0		Fibroepithelial neoplasms	11
9000/0	Brenner tumor, NOS	0		Fibroepithelial neoplasms	11
9020/1	Phyllodes tumor, borderline	1		Fibroepithelial neoplasms	11
9020/3	Phyllodes tumor, malignant	10		Fibroepithelial neoplasms	11
9040/3	Synovial sarcoma, NOS	34		Synovial-like neoplasms	114
9041/3	Synovial sarcoma, spindle cell	55		Synovial-like neoplasms	114
9043/3	Synovial sarcoma, biphasic	17		Synovial-like neoplasms	114
9044/3	Clear cell sarcoma, NOS	8		Synovial-like neoplasms	114
9050/3	Mesothelioma, malignant	1018		Mesothelial neoplasms	1458
9051/3	Fibrous mesothelioma, malignant	5		Mesothelial neoplasms	1458
9052/3	Epithelioid mesothelioma, malignant	309		Mesothelial neoplasms	1458
9053/3	Mesothelioma, biphasic, malignant	126		Mesothelial neoplasms	1458
906-909	Germ cell neoplasms	2		Germ cell neoplasms	1789
9060/3	Dysgerminoma	0		Germ cell neoplasms	1789
9061/3	Seminoma, NOS	408		Germ cell neoplasms	1789
9064/3	Germinoma	1008		Germ cell neoplasms	1789
9065/3	Germ cell tumor, nonseminomatous	6		Germ cell neoplasms	1789
9070/3	Embryonal carcinoma, NOS	123		Germ cell neoplasms	1789
9071/3	Yolk sac tumor, NOS	12		Germ cell neoplasms	1789
9080/0	Teratoma, benign	17		Germ cell neoplasms	1789
9080/1	Teratoma, NOS	4		Germ cell neoplasms	1789
9080/3	Teratoma, malignant, NOS	23		Germ cell neoplasms	1789
9081/3	Teratocarcinoma	17		Germ cell neoplasms	1789
9084/0	Dermoid cyst, NOS	0		Germ cell neoplasms	1789
9084/3	Teratoma with malignant transformation	0		Germ cell neoplasms	1789
9085/3	Mixed germ cell tumor	169		Germ cell neoplasms	1789
9100/0	Hydatidiform mole, NOS	0		Trophoblastic neoplasms	4
9100/3	Choriocarcinoma, NOS	2		Trophoblastic neoplasms	4
9101/3	Choriocarcinoma combined with other germ cell elements	2		Trophoblastic neoplasms	4
9105/3	Trophoblastic tumor, epithelioid	0		Trophoblastic neoplasms	4
9110/3	Mesonephroma, malignant	0		Mesonephromas	0
912-916	Blood vessel tumors	0		Blood vessel tumors	5584
9120/0	Hemangioma, NOS	5518		Blood vessel tumors	5584
9120/3	Hemangiosarcoma	42		Blood vessel tumors	5584
9121/0	Cavernous hemangioma	2		Blood vessel tumors	5584
9123/0	Racemose hemangioma	0		Blood vessel tumors	5584
9124/3	Kupffer cell sarcoma	0		Blood vessel tumors	5584
9130/1	Hemangioendothelioma, NOS	0		Blood vessel tumors	5584
9130/3	Hemangioendothelioma, malignant	2		Blood vessel tumors	5584
9133/3	Epithelioid hemangioendothelioma, NOS	0		Blood vessel tumors	5584
9135/1	Papillary intralymphatic angioendothelioma	0		Blood vessel tumors	5584
9137/3	Intimal sarcoma	1		Blood vessel tumors	5584
9138/1	Pseudomyogenic (epithelioid sarcoma-like) hemangioendothelioma	0		Blood vessel tumors	5584
9140/3	Kaposi sarcoma	1		Blood vessel tumors	5584
9161/1	Hemangioblastoma	18		Blood vessel tumors	5584
9170/0	Lymphangioma, NOS	704		Lymphatic vessel tumors	704
9174/1	Lymphangioleiomyomatosis	0		Lymphatic vessel tumors	704
918-924	Osseous and chondromatous neoplasms	2		Osseous and chondromatous neoplasms	1775
9180/0	Osteoma, NOS	1		Osseous and chondromatous neoplasms	1775
9180/3	Osteosarcoma, NOS	1722		Osseous and chondromatous neoplasms	1775
9181/3	Chondroblastic osteosarcoma	17		Osseous and chondromatous neoplasms	1775
9182/3	Fibroblastic osteosarcoma	14		Osseous and chondromatous neoplasms	1775
9183/3	Telangiectatic osteosarcoma	1		Osseous and chondromatous neoplasms	1775
9184/3	Osteosarcoma in Paget disease of bone	0		Osseous and chondromatous neoplasms	1775
9185/3	Small cell osteosarcoma	0		Osseous and chondromatous neoplasms	1775
9186/3	Central osteosarcoma, NOS	0		Osseous and chondromatous neoplasms	1775
9187/3	Low grade central osteosarcoma	0		Osseous and chondromatous neoplasms	1775
9192/3	Parosteal osteosarcoma	0		Osseous and chondromatous neoplasms	1775
9193/3	Periosteal osteosarcoma	0		Osseous and chondromatous neoplasms	1775
9194/3	High grade surface osteosarcoma	0		Osseous and chondromatous neoplasms	1775
9200/0	Osteoblastoma, NOS	0		Osseous and chondromatous neoplasms	1775
9220/3	Chondrosarcoma, NOS	3		Osseous and chondromatous neoplasms	1775
9230/0	Chondroblastoma, NOS	0		Osseous and chondromatous neoplasms	1775
9231/3	Myxoid chondrosarcoma	2		Osseous and chondromatous neoplasms	1775
9240/3	Mesenchymal chondrosarcoma	13		Osseous and chondromatous neoplasms	1775
9243/3	Dedifferentiated chondrosarcoma	0		Osseous and chondromatous neoplasms	1775
9250/1	Giant cell tumor of bone, NOS	7		Giant cell tumors	9
9250/3	Giant cell tumor of bone, malignant	0		Giant cell tumors	9
9251/1	Giant cell tumor of soft parts, NOS	2		Giant cell tumors	9
9252/0	Tenosynovial giant cell tumor, NOS	0		Giant cell tumors	9
9262/0	Ossifying fibroma	0		Miscellaneous bone tumors	0
9270/3	Odontogenic tumor, malignant	0		Odontogenic tumors	1
9341/3	Clear cell odontogenic carcinoma	0		Odontogenic tumors	1
9342/3	Odontogenic carcinosarcoma	1		Odontogenic tumors	1
9350/1	Craniopharyngioma	112		Miscellaneous tumors	373
9351/1	Craniopharyngioma, adamantinomatous	66		Miscellaneous tumors	373
9352/1	Craniopharyngioma, papillary	0		Miscellaneous tumors	373
9360/1	Pinealoma	13		Miscellaneous tumors	373
9362/3	Pineoblastoma	51		Miscellaneous tumors	373
9363/0	Melanotic neuroectodermal tumor	0		Miscellaneous tumors	373
9364/3	Ewing sarcoma	65		Miscellaneous tumors	373
9370/3	Chordoma, NOS	66		Miscellaneous tumors	373
9371/3	Chondroid chordoma	0		Miscellaneous tumors	373
9380/3	Glioma, malignant	4716		Gliomas	31955
9381/3	Gliomatosis cerebri	2		Gliomas	31955
9382/3	Oligoastrocytoma, NOS	484		Gliomas	31955
9383/1	Subependymoma	5		Gliomas	31955
9384/1	Subependymal giant cell astrocytoma	15		Gliomas	31955
9385/3	Diffuse midline glioma, H3 K27M-mutant	100		Gliomas	31955
9390/0	Choroid plexus papilloma, NOS	89		Gliomas	31955
9390/1	Atypical choroid plexus papilloma	29		Gliomas	31955
9390/3	Choroid plexus carcinoma	49		Gliomas	31955
9391/3	Ependymoma, NOS	560		Gliomas	31955
9392/3	Ependymoma, anaplastic	46		Gliomas	31955
9394/1	Myxopapillary ependymoma	59		Gliomas	31955
9395/3	Papillary tumor of the pineal region	0		Gliomas	31955
9396/3	Ependymoma, RELA fusion-positive	0		Gliomas	31955
9400/3	Astrocytoma, NOS	1342		Gliomas	31955
9401/3	Astrocytoma, anaplastic	448		Gliomas	31955
9412/1	Desmoplastic infantile astrocytoma	6		Gliomas	31955
9413/0	Dysembryoplastic neuroepithelial tumor	87		Gliomas	31955
9420/3	Fibrillary astrocytoma	3		Gliomas	31955
9421/1	Pilocytic astrocytoma	816		Gliomas	31955
9424/3	Pleomorphic xanthoastrocytoma	37		Gliomas	31955
9425/3	Pilomyxoid astrocytoma	0		Gliomas	31955
9430/3	Astroblastoma	27		Gliomas	31955
9431/1	Angiocentric glioma	0		Gliomas	31955
9432/1	Pituicytoma	0		Gliomas	31955
9440/3	Glioblastoma, NOS	20816		Gliomas	31955
9441/3	Giant cell glioblastoma	3		Gliomas	31955
9442/3	Gliosarcoma	13		Gliomas	31955
9445/3	Glioblastoma, IDH-mutant	0		Gliomas	31955
9450/3	Oligodendroglioma, NOS	624		Gliomas	31955
9451/3	Oligodendroglioma, anaplastic, NOS	262		Gliomas	31955
9470/3	Medulloblastoma, NOS	1205		Gliomas	31955
9471/3	Desmoplastic nodular medulloblastoma	39		Gliomas	31955
9473/3	CNS embryonal tumor, NOS	45		Gliomas	31955
9474/3	Large cell medulloblastoma	23		Gliomas	31955
9477/3	Medulloblastoma, non-WNT/non-SHH	0		Gliomas	31955
9478/3	Embryonal tumor with multilayered rosettes with C19MC alteration	5		Gliomas	31955
9490/0	Ganglioneuroma	9		Neuroepitheliomatous neoplasms	2920
9490/3	Ganglioneuroblastoma	271		Neuroepitheliomatous neoplasms	2920
9492/0	Gangliocytoma, NOS	0		Neuroepitheliomatous neoplasms	2920
9500/3	Neuroblastoma, NOS	2121		Neuroepitheliomatous neoplasms	2920
9500/6	metastatic neuroblastoma	0		Neuroepitheliomatous neoplasms	2920
9501/3	Medulloepithelioma, NOS	3		Neuroepitheliomatous neoplasms	2920
9503/3	Neuroepithelioma, NOS	14		Neuroepitheliomatous neoplasms	2920
9505/1	Ganglioglioma, NOS	248		Neuroepitheliomatous neoplasms	2920
9505/3	Ganglioglioma, anaplastic	0		Neuroepitheliomatous neoplasms	2920
9506/1	Central neurocytoma	15		Neuroepitheliomatous neoplasms	2920
9508/3	Atypical teratoid/rhabdoid tumor	179		Neuroepitheliomatous neoplasms	2920
9509/1	Papillary glioneuronal tumor	0		Neuroepitheliomatous neoplasms	2920
9510/3	Retinoblastoma, NOS	41		Neuroepitheliomatous neoplasms	2920
9511/3	Retinoblastoma, differentiated	0		Neuroepitheliomatous neoplasms	2920
9512/3	Retinoblastoma, undifferentiated	0		Neuroepitheliomatous neoplasms	2920
9513/3	Retinoblastoma, diffuse	1			22
9521/3	Olfactory neurocytoma	3		Neuroepitheliomatous neoplasms	2920
9522/3	Olfactory neuroblastoma	16		Neuroepitheliomatous neoplasms	2920
9530/0	Meningioma, NOS	180		Meningiomas	204
9530/1	Meningiomatosis, NOS	2		Meningiomas	204
9530/3	Meningioma, malignant	5		Meningiomas	204
9531/0	Meningothelial meningioma	2		Meningiomas	204
9533/0	Psammomatous meningioma	0		Meningiomas	204
9538/1	Clear cell meningioma	5		Meningiomas	204
9538/3	Papillary meningioma	0		Meningiomas	204
9539/1	Atypical meningioma	10		Meningiomas	204
954-957	Nerve sheath tumors	2		Nerve sheath tumors	183
9540/0	Neurofibroma, NOS	9		Nerve sheath tumors	183
9540/3	Malignant peripheral nerve sheath tumor, NOS	89		Nerve sheath tumors	183
9550/0	Plexiform neurofibroma	25		Nerve sheath tumors	183
9560/0	Schwannoma, NOS	26		Nerve sheath tumors	183
9560/1	Melanotic schwannoma	18		Nerve sheath tumors	183
9561/3	Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation	8		Nerve sheath tumors	183
9570/0	Neuroma, NOS	6		Nerve sheath tumors	183
9571/0	Perineurioma, NOS	0		Nerve sheath tumors	183
9580/0	Granular cell tumor, NOS	0		Granular cell tumors and alveolar soft part sarcomas	19
9581/3	Alveolar soft part sarcoma	19		Granular cell tumors and alveolar soft part sarcomas	19
9590/3	Malignant lymphoma, NOS	130		Hodgkin and non-Hodgkin lymphomas	1965
9591/3	Malignant lymphoma, non-Hodgkin, NOS	71		Hodgkin and non-Hodgkin lymphomas	1965
9596/3	Composite Hodgkin and non-Hodgkin lymphoma	0		Hodgkin and non-Hodgkin lymphomas	1965
9597/3	Primary cutaneous follicle centre lymphoma	0		Hodgkin and non-Hodgkin lymphomas	1965
9650/3	Hodgkin lymphoma, NOS	21		Hodgkin and non-Hodgkin lymphomas	1965
9659/3	Hodgkin lymphoma, nodular lymphocyte predominant	0		Hodgkin and non-Hodgkin lymphomas	1965
9663/3	Hodgkin lymphoma, nodular sclerosis, NOS	0		Hodgkin and non-Hodgkin lymphomas	1965
967-969	Mature B-cell lymphomas	1		Hodgkin and non-Hodgkin lymphomas	1965
9670/3	Malignant lymphoma, small B lymphocytic, NOS	6		Hodgkin and non-Hodgkin lymphomas	1965
9673/3	Mantle cell lymphoma	4		Hodgkin and non-Hodgkin lymphomas	1965
9678/3	Primary effusion lymphoma	0		Hodgkin and non-Hodgkin lymphomas	1965
9679/3	Mediastinal large B-cell lymphoma	4		Hodgkin and non-Hodgkin lymphomas	1965
9680/3	Diffuse large B-cell lymphoma, NOS	1051		Hodgkin and non-Hodgkin lymphomas	1965
9687/3	Burkitt lymphoma, NOS	549		Hodgkin and non-Hodgkin lymphomas	1965
9688/3	T-cell/histiocyte rich large B-cell lymphoma	0		Hodgkin and non-Hodgkin lymphomas	1965
9690/3	Follicular lymphoma, NOS	8		Hodgkin and non-Hodgkin lymphomas	1965
9699/3	Marginal zone B-cell lymphoma, NOS	24		Hodgkin and non-Hodgkin lymphomas	1965
970-971	Mature T- and NK-cell lymphomas	2		Hodgkin and non-Hodgkin lymphomas	1965
9700/3	Mycosis fungoides	4		Hodgkin and non-Hodgkin lymphomas	1965
9701/3	Sezary syndrome	2		Hodgkin and non-Hodgkin lymphomas	1965
9702/3	Mature T-cell lymphoma, NOS	50		Hodgkin and non-Hodgkin lymphomas	1965
9705/3	Angioimmunoblastic T-cell lymphoma	24		Hodgkin and non-Hodgkin lymphomas	1965
9708/3	Subcutaneous panniculitis-like T-cell lymphoma	0		Hodgkin and non-Hodgkin lymphomas	1965
9709/3	Cutaneous T-cell lymphoma, NOS	0		Hodgkin and non-Hodgkin lymphomas	1965
9712/3	Intravascular large B-cell lymphoma	2		Hodgkin and non-Hodgkin lymphomas	1965
9714/3	Anaplastic large cell lymphoma, T-cell and Null-cell type	5		Hodgkin and non-Hodgkin lymphomas	1965
9716/3	Hepatosplenic T-cell lymphoma	3		Hodgkin and non-Hodgkin lymphomas	1965
9718/3	Primary cutaneous anaplastic large cell lymphoma	0		Hodgkin and non-Hodgkin lymphomas	1965
9719/3	NK/T-cell lymphoma, nasal and nasal type	2			22
9726/3	Primary cutaneous gamma-delta T-cell lymphoma	1			22
9727/3	Precursor cell lymphoblastic lymphoma, NOS	4		Hodgkin and non-Hodgkin lymphomas	1965
9731/3	Plasmacytoma, NOS	0		Plasma Cell Tumors	3542
9732/3	Plasma cell myeloma	3540		Plasma Cell Tumors	3542
9734/3	Plasmacytoma, extramedullary	2		Plasma Cell Tumors	3542
9738/3	HHV8-positive diffuse large B-cell lymphoma	0		Plasma Cell Tumors	3542
9740/1	Mastocytoma, NOS	4		Mast Cell Tumors	4
9741/1	Indolent systemic mastocytosis	0		Mast Cell Tumors	4
9741/3	Malignant mastocytosis	0		Mast Cell Tumors	4
9742/3	Mast cell leukemia	0		Mast Cell Tumors	4
9750/3	Malignant histiocytosis	0		Neoplasms of histiocytes and accessory lymphoid cells	8
9751/1	Langerhans cell histiocytosis, NOS	4		Neoplasms of histiocytes and accessory lymphoid cells	8
9751/3	Langerhans cell histiocytosis, disseminated	0		Neoplasms of histiocytes and accessory lymphoid cells	8
9755/3	Histiocytic sarcoma	4		Neoplasms of histiocytes and accessory lymphoid cells	8
9757/3	Interdigitating dendritic cell sarcoma	0		Neoplasms of histiocytes and accessory lymphoid cells	8
9758/3	Follicular dendritic cell sarcoma	0		Neoplasms of histiocytes and accessory lymphoid cells	8
9761/3	Waldenstrom macroglobulinemia	0		Immunoproliferative diseases	0
9800/3	Leukemia, NOS	1395		Leukemias	15473
9801/3	Acute leukemia, NOS	27		Leukemias	15473
9806/3	Mixed phenotype acute leukemia with t(9;22)(q34;q11.2); BCR-ABL1	0		Leukemias	15473
9807/3	Mixed phenotype acute leukemia with t(v;11q23); MLL rearranged	0		Leukemias	15473
9808/3	Mixed phenotype acute leukemia, B/myeloid, NOS	2		Leukemias	15473
9809/3	Mixed phenotype acute leukemia, T/myeloid, NOS	13		Leukemias	15473
9811/3	B lymphoblastic leukemia/lymphoma, NOS	3678		Leukemias	15473
9812/3	B lymphoblastic leukemia/lymphoma with t(9;22)(q34;q11.2); BCR-ABL1	0		Leukemias	15473
9813/3	B lymphoblastic leukemia/lymphoma with t(v;11q23); MLL rearranged	0		Leukemias	15473
9814/3	B lymphoblastic leukemia/lymphoma with t(12;21)(p13;q22); TEL-AML1(ETV6-RUNX1)	0		Leukemias	15473
9815/3	B lymphoblastic leukemia/lymphoma with hyperdiploidy	0		Leukemias	15473
9816/3	B lymphoblastic leukemia/lymphoma with hypodiploidy(Hypodiploid ALL)	0		Leukemias	15473
9818/3	B lymphoblastic leukemia/lymphoma with t(1;19)(q23;p13.3); E2A-PBX1(TCF3-PBX1)	0		Leukemias	15473
9820/3	Lymphoid leukemia, NOS	98		Leukemias	15473
9823/3	B-cell chronic lymphocytic leukemia/small lymphocytic lymphoma	12		Leukemias	15473
9827/3	Adult T-cell leukemia/lymphoma (HTLV-1 positive)	18		Leukemias	15473
9831/3	T-cell large granular lymphocytic leukemia	16		Leukemias	15473
9834/3	Prolymphocytic leukemia, T-cell type	22		Leukemias	15473
9835/3	Precursor cell lymphoblastic leukemia, NOS	2491		Leukemias	15473
9837/3	Precursor T-cell lymphoblastic leukemia	112		Leukemias	15473
9840/3	Acute erythroid leukemia	16		Leukemias	15473
9860/3	Myeloid leukemia, NOS	39		Leukemias	15473
9861/3	Acute myeloid leukemia, NOS	5334		Leukemias	15473
9863/3	Chronic myeloid leukemia, NOS	4		Leukemias	15473
9865/3	Acute myeloid leukemia with t(6;9)(p23;q34); DEK-NUP214	14		Leukemias	15473
9866/3	Acute promyelocytic leukemia, t(15;17)(q22;q11-12)	93		Leukemias	15473
9867/3	Acute myelomonocytic leukemia, NOS	139		Leukemias	15473
9869/3	Acute myeloid leukemia with inv(3)(q21;q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1	34		Leukemias	15473
9871/3	Acute myeloid leukemia with abnormal marrow eosinophils	101		Leukemias	15473
9872/3	Acute myeloid leukemia, minimal differentiation	66		Leukemias	15473
9873/3	Acute myeloid leukemia without maturation	110		Leukemias	15473
9874/3	Acute myeloid leukemia with maturation	113		Leukemias	15473
9875/3	Chronic myelogenous leukemia, BCR/ABL positive	0		Leukemias	15473
9876/3	Atypical chronic myeloid leukemia, BCR/ABL negative	60		Leukemias	15473
9877/3	Acute myeloid leukemia with mutated NPM1	267		Leukemias	15473
9878/3	Acute myeloid leukemia with biallelic mutation of CEBPA	56		Leukemias	15473
9891/3	Acute monocytic leukemia	412		Leukemias	15473
9895/3	Acute myeloid leukemia with myelodysplasia-related changes	395		Leukemias	15473
9896/3	Acute myeloid leukemia, t(8;21)(q22;q22)	38		Leukemias	15473
9897/3	Acute myeloid leukemia, 11q23 abnormalities	25		Leukemias	15473
9898/1	Transient abnormal myelopoiesis	0		Leukemias	15473
9898/3	Myeloid leukemia associated with Down syndrome	5		Leukemias	15473
9910/3	Acute megakaryoblastic leukemia	10		Leukemias	15473
9920/3	Therapy-related myeloid neoplasm	130		Leukemias	15473
9930/3	Myeloid sarcoma	17		Leukemias	15473
9940/3	Hairy cell leukemia, NOS	4		Leukemias	15473
9945/3	Chronic myelomonocytic leukemia, NOS	68		Leukemias	15473
9946/3	Juvenile myelomonocytic leukemia, NOS	39		Leukemias	15473
9950/3	Polycythemia vera	0		Chronic myeloproliferative disorders	84
9960/3	Myeloproliferative neoplasm, NOS	0		Chronic myeloproliferative disorders	84
9961/3	Primary myelofibrosis	2		Chronic myeloproliferative disorders	84
9962/3	Essential thrombocythemia	2		Chronic myeloproliferative disorders	84
9963/3	Chronic neutrophilic leukemia	80		Chronic myeloproliferative disorders	84
9964/3	Chronic eosinophilic leukemia	0		Chronic myeloproliferative disorders	84
9965/3	Myeloid or lymphoid neoplasm with PDGFRA rearrangement	0		Chronic myeloproliferative disorders	84
9970/1	Lymphoproliferative disorder, NOS	0		Other hematologic disorders	54
9975/3	Myeloproliferative neoplasm, unclassifiable	54		Other hematologic disorders	54
9980/3	Myelodysplastic syndrome with single lineage dysplasia	0		Myelodysplastic syndromes	33
9982/3	Myelodysplastic syndrome with ring sideroblasts and single lineage dysplasia	0		Myelodysplastic syndromes	33
9983/3	Myelodysplastic syndrome with excess blasts	8		Myelodysplastic syndromes	33
9985/3	Myelodysplastic syndrome with multilineage dysplasia	4		Myelodysplastic syndromes	33
9986/3	Myelodysplastic syndrome with isolated del (5q)	2		Myelodysplastic syndromes	33
9987/3	Therapy-related myelodysplastic syndrome, NOS	2		Myelodysplastic syndromes	33
9989/3	Myelodysplastic syndrome, NOS	17		Myelodysplastic syndromes	33
9993/3	Myelodysplastic syndrome with ring sideroblasts and multilineage dysplasia	0		Myelodysplastic syndromes	33
